ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
111,ResUnitSF,1,1,FALSE,-324.2600834,200,1.61051,0,16213.00417,4.83E-04,0.002,0,-1.61E-04,0,FALSE
112,ResUnitSF,1,1,FALSE,-167.1387278,200,1.61051,0,8356.93639,4.83E-04,0.002,0,-1.61E-04,0,FALSE
113,ResUnitSF,1,1,FALSE,-102.1707544,200,1.61051,0,5108.53772,4.83E-04,0.002,0,-1.61E-04,0,FALSE
114,ResUnitSF,1,1,FALSE,-86.806489,200,1.61051,0,4340.32445,4.83E-04,0.002,0,-1.61E-04,0,FALSE
115,ResUnitSF,1,1,FALSE,-302.0672556,200,1.61051,0,15103.36278,4.83E-04,0.002,0,-1.61E-04,0,FALSE
116,ResUnitSF,1,1,FALSE,-100.4636138,200,1.61051,0,5023.18069,4.83E-04,0.002,0,-1.61E-04,0,FALSE
117,ResUnitSF,1,1,FALSE,-100.173722,200,1.61051,0,5008.6861,4.83E-04,0.002,0,-1.61E-04,0,FALSE
118,ResUnitSF,1,1,FALSE,-105.5528254,200,1.61051,0,5277.64127,4.83E-04,0.002,0,-1.61E-04,0,FALSE
119,ResUnitSF,1,1,FALSE,-442.3748868,200,1.61051,0,22118.74434,4.83E-04,0.002,0,-1.61E-04,0,FALSE
120,ResUnitSF,1,1,FALSE,-247.696438,200,1.61051,0,12384.8219,4.83E-04,0.002,0,-1.61E-04,0,FALSE
121,ResUnitSF,1,1,FALSE,-338.9801448,200,1.61051,0,16949.00724,4.83E-04,0.002,0,-1.61E-04,0,FALSE
122,ResUnitSF,1,1,FALSE,-169.6189132,200,1.61051,0,8434.24087,4.83E-04,0.002,0,-1.61E-04,0,FALSE
123,ResUnitSF,1,1,FALSE,-64.4526102,200,1.61051,0,3200.08337,4.83E-04,0.002,0,-1.61E-04,0,FALSE
124,ResUnitSF,1,1,FALSE,-204.4059292,200,1.61051,0,10144.60249,4.83E-04,0.002,0,-1.61E-04,0,FALSE
125,ResUnitSF,1,1,FALSE,-136.4746174,200,1.61051,0,6601.48049,4.83E-04,0.002,0,-1.61E-04,0,FALSE
126,ResUnitSF,1,1,FALSE,-0.483153,200,1.61051,0,24.15765,4.83E-04,0.002,0,-1.61E-04,0,FALSE
